# Depth(nm)	Force(mN)
3.129e+00	9.978e-03
4.845e+00	4.545e-02
9.232e+00	8.017e-02
1.547e+01	1.151e-01
1.901e+01	1.515e-01
2.431e+01	1.867e-01
2.973e+01	2.224e-01
3.349e+01	2.579e-01
3.836e+01	2.935e-01
4.211e+01	3.284e-01
4.526e+01	3.641e-01
4.737e+01	3.990e-01
5.073e+01	4.338e-01
5.414e+01	4.702e-01
5.820e+01	5.058e-01
6.079e+01	5.424e-01
6.499e+01	5.775e-01
6.828e+01	6.126e-01
7.158e+01	6.477e-01
7.306e+01	6.833e-01
7.656e+01	7.193e-01
7.853e+01	7.545e-01
8.055e+01	7.892e-01
8.252e+01	8.240e-01
8.521e+01	8.587e-01
8.721e+01	8.936e-01
9.009e+01	9.285e-01
9.332e+01	9.637e-01
9.701e+01	9.987e-01
9.990e+01	1.034e+00
1.017e+02	1.070e+00
1.033e+02	1.105e+00
1.050e+02	1.139e+00
1.070e+02	1.175e+00
1.093e+02	1.210e+00
1.124e+02	1.245e+00
1.141e+02	1.280e+00
1.161e+02	1.315e+00
1.194e+02	1.350e+00
1.211e+02	1.385e+00
1.227e+02	1.421e+00
1.241e+02	1.455e+00
1.262e+02	1.490e+00
1.281e+02	1.525e+00
1.303e+02	1.560e+00
1.319e+02	1.596e+00
1.332e+02	1.631e+00
1.351e+02	1.666e+00
1.379e+02	1.701e+00
1.395e+02	1.736e+00
1.423e+02	1.771e+00
1.441e+02	1.805e+00
1.456e+02	1.840e+00
1.467e+02	1.876e+00
1.479e+02	1.911e+00
1.505e+02	1.945e+00
1.523e+02	1.981e+00
1.539e+02	2.016e+00
1.549e+02	2.051e+00
1.563e+02	2.085e+00
1.574e+02	2.121e+00
1.595e+02	2.156e+00
1.614e+02	2.190e+00
1.627e+02	2.226e+00
1.644e+02	2.261e+00
1.649e+02	2.296e+00
1.671e+02	2.331e+00
1.694e+02	2.366e+00
1.707e+02	2.401e+00
1.724e+02	2.436e+00
1.740e+02	2.471e+00
1.764e+02	2.506e+00
1.784e+02	2.541e+00
1.796e+02	2.576e+00
1.802e+02	2.610e+00
1.820e+02	2.646e+00
1.830e+02	2.681e+00
1.840e+02	2.716e+00
1.854e+02	2.751e+00
1.861e+02	2.786e+00
1.874e+02	2.821e+00
1.884e+02	2.856e+00
1.895e+02	2.891e+00
1.908e+02	2.926e+00
1.919e+02	2.961e+00
1.932e+02	2.996e+00
1.946e+02	3.031e+00
1.961e+02	3.066e+00
1.972e+02	3.101e+00
1.988e+02	3.136e+00
2.005e+02	3.170e+00
2.024e+02	3.205e+00
2.041e+02	3.241e+00
2.053e+02	3.276e+00
2.070e+02	3.310e+00
2.080e+02	3.346e+00
2.086e+02	3.381e+00
2.097e+02	3.416e+00
2.104e+02	3.450e+00
2.115e+02	3.486e+00
2.122e+02	3.500e+00
2.146e+02	3.500e+00
2.151e+02	3.442e+00
2.147e+02	3.384e+00
2.146e+02	3.327e+00
2.142e+02	3.270e+00
2.141e+02	3.214e+00
2.139e+02	3.156e+00
2.134e+02	3.098e+00
2.134e+02	3.041e+00
2.131e+02	2.984e+00
2.129e+02	2.927e+00
2.127e+02	2.871e+00
2.125e+02	2.814e+00
2.124e+02	2.756e+00
2.118e+02	2.698e+00
2.120e+02	2.640e+00
2.116e+02	2.584e+00
2.112e+02	2.526e+00
2.112e+02	2.470e+00
2.108e+02	2.412e+00
2.105e+02	2.355e+00
2.105e+02	2.299e+00
2.101e+02	2.241e+00
2.098e+02	2.184e+00
2.093e+02	2.127e+00
2.094e+02	2.071e+00
2.092e+02	2.014e+00
2.088e+02	1.957e+00
2.085e+02	1.900e+00
2.081e+02	1.844e+00
2.076e+02	1.786e+00
2.078e+02	1.729e+00
2.072e+02	1.672e+00
2.070e+02	1.616e+00
2.067e+02	1.558e+00
2.067e+02	1.501e+00
2.067e+02	1.444e+00
2.064e+02	1.387e+00
2.056e+02	1.331e+00
2.052e+02	1.275e+00
2.054e+02	1.217e+00
2.050e+02	1.161e+00
2.043e+02	1.103e+00
2.042e+02	1.047e+00
2.040e+02	9.903e-01
2.034e+02	9.341e-01
2.032e+02	8.760e-01
2.025e+02	8.194e-01
2.020e+02	7.633e-01
2.012e+02	7.063e-01
2.012e+02	6.474e-01
2.017e+02	5.893e-01
2.011e+02	5.310e-01
2.005e+02	4.741e-01
1.997e+02	4.173e-01
1.994e+02	3.607e-01
1.987e+02	3.490e-01
1.983e+02	3.490e-01
1.980e+02	2.907e-01
1.976e+02	2.332e-01
1.975e+02	1.762e-01
1.969e+02	1.195e-01
1.964e+02	6.209e-02
1.911e+02	5.488e-03
1.917e+02	0.000e+00
