# Depth(nm)	Force(mN)
2.438e+00	9.180e-03
3.016e+00	2.145e-02
4.355e+00	3.391e-02
5.936e+00	4.664e-02
6.795e+00	5.880e-02
7.526e+00	7.314e-02
1.081e+01	8.554e-02
1.525e+01	9.799e-02
1.751e+01	1.109e-01
2.014e+01	1.234e-01
2.214e+01	1.359e-01
2.356e+01	1.483e-01
2.518e+01	1.609e-01
2.602e+01	1.733e-01
2.702e+01	1.858e-01
2.852e+01	1.983e-01
3.079e+01	2.109e-01
3.303e+01	2.233e-01
3.486e+01	2.358e-01
3.631e+01	2.486e-01
3.876e+01	2.611e-01
4.040e+01	2.739e-01
4.181e+01	2.865e-01
4.274e+01	2.989e-01
4.377e+01	3.114e-01
4.516e+01	3.240e-01
4.670e+01	3.365e-01
4.850e+01	3.492e-01
4.991e+01	3.618e-01
5.201e+01	3.743e-01
5.548e+01	3.871e-01
5.858e+01	3.999e-01
6.070e+01	4.129e-01
6.256e+01	4.253e-01
6.410e+01	4.377e-01
6.515e+01	4.502e-01
6.624e+01	4.629e-01
6.681e+01	4.753e-01
6.724e+01	4.877e-01
6.748e+01	5.005e-01
6.813e+01	5.129e-01
6.817e+01	5.258e-01
6.902e+01	5.383e-01
6.909e+01	5.507e-01
6.923e+01	5.632e-01
7.089e+01	5.758e-01
7.242e+01	5.884e-01
7.376e+01	6.008e-01
7.640e+01	6.133e-01
7.755e+01	6.258e-01
7.886e+01	6.383e-01
7.924e+01	6.508e-01
7.987e+01	6.635e-01
8.013e+01	6.762e-01
8.038e+01	6.890e-01
8.042e+01	7.015e-01
8.156e+01	7.140e-01
8.221e+01	7.265e-01
8.329e+01	7.392e-01
8.357e+01	7.519e-01
8.456e+01	7.646e-01
8.610e+01	7.772e-01
8.688e+01	7.897e-01
8.850e+01	8.021e-01
9.026e+01	8.146e-01
9.078e+01	8.271e-01
9.208e+01	8.397e-01
9.258e+01	8.521e-01
9.310e+01	8.647e-01
9.318e+01	8.772e-01
9.368e+01	8.897e-01
9.425e+01	9.021e-01
9.511e+01	9.147e-01
9.607e+01	9.271e-01
9.662e+01	9.399e-01
9.736e+01	9.523e-01
9.833e+01	9.649e-01
9.816e+01	9.773e-01
9.863e+01	9.898e-01
9.962e+01	1.003e+00
1.008e+02	1.015e+00
1.014e+02	1.028e+00
1.032e+02	1.041e+00
1.044e+02	1.053e+00
1.048e+02	1.066e+00
1.054e+02	1.078e+00
1.056e+02	1.091e+00
1.058e+02	1.104e+00
1.061e+02	1.117e+00
1.073e+02	1.130e+00
1.090e+02	1.143e+00
1.100e+02	1.155e+00
1.098e+02	1.168e+00
1.100e+02	1.181e+00
1.100e+02	1.194e+00
1.111e+02	1.207e+00
1.127e+02	1.219e+00
1.140e+02	1.232e+00
1.144e+02	1.244e+00
1.161e+02	1.250e+00
1.196e+02	1.250e+00
1.193e+02	1.229e+00
1.190e+02	1.209e+00
1.190e+02	1.188e+00
1.189e+02	1.168e+00
1.189e+02	1.148e+00
1.188e+02	1.128e+00
1.185e+02	1.107e+00
1.184e+02	1.087e+00
1.184e+02	1.066e+00
1.182e+02	1.045e+00
1.181e+02	1.025e+00
1.178e+02	1.005e+00
1.179e+02	9.843e-01
1.175e+02	9.639e-01
1.176e+02	9.430e-01
1.169e+02	9.228e-01
1.169e+02	9.027e-01
1.168e+02	8.822e-01
1.164e+02	8.618e-01
1.164e+02	8.415e-01
1.163e+02	8.213e-01
1.162e+02	8.010e-01
1.152e+02	7.805e-01
1.161e+02	7.597e-01
1.158e+02	7.392e-01
1.157e+02	7.190e-01
1.156e+02	6.986e-01
1.154e+02	6.785e-01
1.154e+02	6.578e-01
1.147e+02	6.377e-01
1.150e+02	6.172e-01
1.147e+02	5.970e-01
1.144e+02	5.764e-01
1.140e+02	5.554e-01
1.138e+02	5.347e-01
1.138e+02	5.139e-01
1.138e+02	4.935e-01
1.133e+02	4.729e-01
1.132e+02	4.525e-01
1.132e+02	4.322e-01
1.125e+02	4.118e-01
1.125e+02	3.911e-01
1.126e+02	3.710e-01
1.124e+02	3.504e-01
1.115e+02	3.303e-01
1.116e+02	3.095e-01
1.118e+02	2.889e-01
1.114e+02	2.680e-01
1.108e+02	2.471e-01
1.108e+02	2.259e-01
1.106e+02	2.056e-01
1.103e+02	1.853e-01
1.098e+02	1.652e-01
1.094e+02	1.448e-01
1.093e+02	1.243e-01
1.088e+02	1.241e-01
1.091e+02	1.241e-01
1.089e+02	1.037e-01
1.085e+02	8.333e-02
1.083e+02	6.305e-02
1.079e+02	4.260e-02
1.069e+02	2.220e-02
1.045e+02	2.044e-03
1.018e+02	0.000e+00
